DBPediaURI;searchwrap_q=Adam+Wainwright;searchwrap_q=Adam+Wainwright.1;searchwrap_q=Adam+Wainwright.10;searchwrap_q=Adam+Wainwright.11;searchwrap_q=Adam+Wainwright.12;searchwrap_q=Adam+Wainwright.13;searchwrap_q=Adam+Wainwright.14;searchwrap_q=Adam+Wainwright.15;searchwrap_q=Adam+Wainwright.16;searchwrap_q=Adam+Wainwright.17;searchwrap_q=Adam+Wainwright.18;searchwrap_q=Adam+Wainwright.19;searchwrap_q=Adam+Wainwright.2;searchwrap_q=Adam+Wainwright.20;searchwrap_q=Adam+Wainwright.21;searchwrap_q=Adam+Wainwright.22;searchwrap_q=Adam+Wainwright.23;searchwrap_q=Adam+Wainwright.24;searchwrap_q=Adam+Wainwright.25;searchwrap_q=Adam+Wainwright.26;searchwrap_q=Adam+Wainwright.27;searchwrap_q=Adam+Wainwright.28;searchwrap_q=Adam+Wainwright.29;searchwrap_q=Adam+Wainwright.3;searchwrap_q=Adam+Wainwright.30;searchwrap_q=Adam+Wainwright.31;searchwrap_q=Adam+Wainwright.32;searchwrap_q=Adam+Wainwright.33;searchwrap_q=Adam+Wainwright.34;searchwrap_q=Adam+Wainwright.35;searchwrap_q=Adam+Wainwright.36;searchwrap_q=Adam+Wainwright.37;searchwrap_q=Adam+Wainwright.38;searchwrap_q=Adam+Wainwright.39;searchwrap_q=Adam+Wainwright.4;searchwrap_q=Adam+Wainwright.40;searchwrap_q=Adam+Wainwright.41;searchwrap_q=Adam+Wainwright.42;searchwrap_q=Adam+Wainwright.43;searchwrap_q=Adam+Wainwright.44;searchwrap_q=Adam+Wainwright.45;searchwrap_q=Adam+Wainwright.46;searchwrap_q=Adam+Wainwright.47;searchwrap_q=Adam+Wainwright.5;searchwrap_q=Adam+Wainwright.6;searchwrap_q=Adam+Wainwright.7;searchwrap_q=Adam+Wainwright.8;searchwrap_q=Adam+Wainwright.9
http://dbpedia.org/resource/Alexei_Kovalev;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Tommy_John;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;1;1;0
http://dbpedia.org/resource/Spring_training;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/Tommy_John_Surgery;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1
http://dbpedia.org/resource/Adam_Wainwright;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/adam_wainwright;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1
http://dbpedia.org/resource/Tommy_John_surgery;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/ESPN;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/ADAM_WAINWRIGHT;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
http://dbpedia.org/resource/Pitcher;0;1;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
http://dbpedia.org/resource/knuckleball;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/New_York_Yankees;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/pitcher;0;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/Baseball;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/St._Louis_Cardinals;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/BASEBALL;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/surgery;0;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1
http://dbpedia.org/resource/Chris_Carpenter;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1
http://dbpedia.org/resource/Major_League_Baseball;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
http://dbpedia.org/resource/Albert_Pujols;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0
http://dbpedia.org/resource/Surgery;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1
http://dbpedia.org/resource/free_agent;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Los_Angeles_Clippers;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/TOMMY_JOHN_SURGERY;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/tommy_john;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
http://dbpedia.org/resource/Free_agent;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Adam_wainwright;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
http://dbpedia.org/resource/ST._Louis_Cardinals;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/tommy_john_surgery;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0
