DBPediaURI;searchwrap_q=Vorratsdaten&lang=de;searchwrap_q=Vorratsdaten&lang=de.1;searchwrap_q=Vorratsdaten&lang=de.10;searchwrap_q=Vorratsdaten&lang=de.11;searchwrap_q=Vorratsdaten&lang=de.12;searchwrap_q=Vorratsdaten&lang=de.13;searchwrap_q=Vorratsdaten&lang=de.14;searchwrap_q=Vorratsdaten&lang=de.15;searchwrap_q=Vorratsdaten&lang=de.16;searchwrap_q=Vorratsdaten&lang=de.17;searchwrap_q=Vorratsdaten&lang=de.18;searchwrap_q=Vorratsdaten&lang=de.19;searchwrap_q=Vorratsdaten&lang=de.2;searchwrap_q=Vorratsdaten&lang=de.20;searchwrap_q=Vorratsdaten&lang=de.21;searchwrap_q=Vorratsdaten&lang=de.22;searchwrap_q=Vorratsdaten&lang=de.23;searchwrap_q=Vorratsdaten&lang=de.24;searchwrap_q=Vorratsdaten&lang=de.25;searchwrap_q=Vorratsdaten&lang=de.26;searchwrap_q=Vorratsdaten&lang=de.27;searchwrap_q=Vorratsdaten&lang=de.28;searchwrap_q=Vorratsdaten&lang=de.29;searchwrap_q=Vorratsdaten&lang=de.3;searchwrap_q=Vorratsdaten&lang=de.30;searchwrap_q=Vorratsdaten&lang=de.31;searchwrap_q=Vorratsdaten&lang=de.32;searchwrap_q=Vorratsdaten&lang=de.33;searchwrap_q=Vorratsdaten&lang=de.34;searchwrap_q=Vorratsdaten&lang=de.35;searchwrap_q=Vorratsdaten&lang=de.36;searchwrap_q=Vorratsdaten&lang=de.37;searchwrap_q=Vorratsdaten&lang=de.38;searchwrap_q=Vorratsdaten&lang=de.39;searchwrap_q=Vorratsdaten&lang=de.4;searchwrap_q=Vorratsdaten&lang=de.40;searchwrap_q=Vorratsdaten&lang=de.41;searchwrap_q=Vorratsdaten&lang=de.42;searchwrap_q=Vorratsdaten&lang=de.43;searchwrap_q=Vorratsdaten&lang=de.44;searchwrap_q=Vorratsdaten&lang=de.45;searchwrap_q=Vorratsdaten&lang=de.46;searchwrap_q=Vorratsdaten&lang=de.47;searchwrap_q=Vorratsdaten&lang=de.5;searchwrap_q=Vorratsdaten&lang=de.6;searchwrap_q=Vorratsdaten&lang=de.7;searchwrap_q=Vorratsdaten&lang=de.8;searchwrap_q=Vorratsdaten&lang=de.9
http://de.dbpedia.org/resource/Vorratsdatenspeicherung;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://de.dbpedia.org/resource/Die_Zeit;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;0
http://de.dbpedia.org/resource/malte_spitz;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0
http://de.dbpedia.org/resource/Internetdienstanbieter;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
http://de.dbpedia.org/resource/Malte_Spitz;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0
http://de.dbpedia.org/resource/Interaktivität;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
http://de.dbpedia.org/resource/Datenschutz;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://de.dbpedia.org/resource/Byte;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1
http://de.dbpedia.org/resource/Hypertext_Transfer_Protocol;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0
http://de.dbpedia.org/resource/World_Wide_Web;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Mobilfunkprovider;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://de.dbpedia.org/resource/Chaos_Computer_Club;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
http://de.dbpedia.org/resource/die_ZEIT;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Mobiltelefon;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://de.dbpedia.org/resource/Telefon;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1
http://de.dbpedia.org/resource/Die_ZEIT;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Integrated_Services_Digital_Network;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
http://de.dbpedia.org/resource/Internet_Protocol;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Blog;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
http://de.dbpedia.org/resource/Bewegungsprofil;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/bewegungsprofil;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/krass;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/datenschutz;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/vorratsdatenspeicherung;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
http://de.dbpedia.org/resource/bit;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0
http://de.dbpedia.org/resource/Schweiz;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Blickbewegungsregistrierung;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Android;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Heise_online;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/blog;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Global_System_for_Mobile_Communications;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0
http://de.dbpedia.org/resource/Hauptverwaltung_Aufklärung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/heise_online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0
http://de.dbpedia.org/resource/Visualisierung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://de.dbpedia.org/resource/client;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/die_zeit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Smartphone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Internet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Ministerium_für_Staatssicherheit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Global_Positioning_System;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0
http://de.dbpedia.org/resource/Twitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
http://de.dbpedia.org/resource/die_Zeit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
http://de.dbpedia.org/resource/Ontario_Hockey_League;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
http://de.dbpedia.org/resource/Computer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
