DBPediaURI;searchwrap_q=#thingsthedevilinvented&extern=true;searchwrap_q=#thingsthedevilinvented&extern=true.1;searchwrap_q=#thingsthedevilinvented&extern=true.10;searchwrap_q=#thingsthedevilinvented&extern=true.11;searchwrap_q=#thingsthedevilinvented&extern=true.12;searchwrap_q=#thingsthedevilinvented&extern=true.13;searchwrap_q=#thingsthedevilinvented&extern=true.14;searchwrap_q=#thingsthedevilinvented&extern=true.15;searchwrap_q=#thingsthedevilinvented&extern=true.16;searchwrap_q=#thingsthedevilinvented&extern=true.17;searchwrap_q=#thingsthedevilinvented&extern=true.18;searchwrap_q=#thingsthedevilinvented&extern=true.19;searchwrap_q=#thingsthedevilinvented&extern=true.2;searchwrap_q=#thingsthedevilinvented&extern=true.20;searchwrap_q=#thingsthedevilinvented&extern=true.21;searchwrap_q=#thingsthedevilinvented&extern=true.22;searchwrap_q=#thingsthedevilinvented&extern=true.23;searchwrap_q=#thingsthedevilinvented&extern=true.24;searchwrap_q=#thingsthedevilinvented&extern=true.25;searchwrap_q=#thingsthedevilinvented&extern=true.26;searchwrap_q=#thingsthedevilinvented&extern=true.27;searchwrap_q=#thingsthedevilinvented&extern=true.29;searchwrap_q=#thingsthedevilinvented&extern=true.3;searchwrap_q=#thingsthedevilinvented&extern=true.30;searchwrap_q=#thingsthedevilinvented&extern=true.31;searchwrap_q=#thingsthedevilinvented&extern=true.32;searchwrap_q=#thingsthedevilinvented&extern=true.33;searchwrap_q=#thingsthedevilinvented&extern=true.34;searchwrap_q=#thingsthedevilinvented&extern=true.35;searchwrap_q=#thingsthedevilinvented&extern=true.36;searchwrap_q=#thingsthedevilinvented&extern=true.37;searchwrap_q=#thingsthedevilinvented&extern=true.38;searchwrap_q=#thingsthedevilinvented&extern=true.39;searchwrap_q=#thingsthedevilinvented&extern=true.4;searchwrap_q=#thingsthedevilinvented&extern=true.40;searchwrap_q=#thingsthedevilinvented&extern=true.41;searchwrap_q=#thingsthedevilinvented&extern=true.42;searchwrap_q=#thingsthedevilinvented&extern=true.43;searchwrap_q=#thingsthedevilinvented&extern=true.44;searchwrap_q=#thingsthedevilinvented&extern=true.45;searchwrap_q=#thingsthedevilinvented&extern=true.46;searchwrap_q=#thingsthedevilinvented&extern=true.47;searchwrap_q=#thingsthedevilinvented&extern=true.5;searchwrap_q=#thingsthedevilinvented&extern=true.6;searchwrap_q=#thingsthedevilinvented&extern=true.7;searchwrap_q=#thingsthedevilinvented&extern=true.8;searchwrap_q=#thingsthedevilinvented&extern=true.9
http://dbpedia.org/resource/User_(computing);1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/twitter;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;1;0
http://dbpedia.org/resource/Internet_Explorer;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
http://dbpedia.org/resource/Racism;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Abortion;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Homophobia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/acid_rain;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/YouTube;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
http://dbpedia.org/resource/devil;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Twitter;1;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0
http://dbpedia.org/resource/Sexism;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Sarah_Palin;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
http://dbpedia.org/resource/Republican_Party_(United_States);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
http://dbpedia.org/resource/kanye_west;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Evolution;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Rihanna;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Obesity;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
http://dbpedia.org/resource/Rocawear;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/MTV;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/hippie;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Black_Eyed_Peas;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Wal-Mart;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
http://dbpedia.org/resource/lol;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/iPhone;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://dbpedia.org/resource/LOL;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/facebook;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/toilet_paper;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/the_Washington_Post;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Devil;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/JavaScript;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
