DBPediaURI;searchwrap_q=CatchPetrovaFire;searchwrap_q=CatchPetrovaFire.1;searchwrap_q=CatchPetrovaFire.10;searchwrap_q=CatchPetrovaFire.11;searchwrap_q=CatchPetrovaFire.12;searchwrap_q=CatchPetrovaFire.13;searchwrap_q=CatchPetrovaFire.14;searchwrap_q=CatchPetrovaFire.15;searchwrap_q=CatchPetrovaFire.16;searchwrap_q=CatchPetrovaFire.17;searchwrap_q=CatchPetrovaFire.18;searchwrap_q=CatchPetrovaFire.19;searchwrap_q=CatchPetrovaFire.2;searchwrap_q=CatchPetrovaFire.20;searchwrap_q=CatchPetrovaFire.21;searchwrap_q=CatchPetrovaFire.22;searchwrap_q=CatchPetrovaFire.23;searchwrap_q=CatchPetrovaFire.24;searchwrap_q=CatchPetrovaFire.25;searchwrap_q=CatchPetrovaFire.26;searchwrap_q=CatchPetrovaFire.27;searchwrap_q=CatchPetrovaFire.28;searchwrap_q=CatchPetrovaFire.29;searchwrap_q=CatchPetrovaFire.3;searchwrap_q=CatchPetrovaFire.30;searchwrap_q=CatchPetrovaFire.31;searchwrap_q=CatchPetrovaFire.32;searchwrap_q=CatchPetrovaFire.33;searchwrap_q=CatchPetrovaFire.34;searchwrap_q=CatchPetrovaFire.35;searchwrap_q=CatchPetrovaFire.36;searchwrap_q=CatchPetrovaFire.37;searchwrap_q=CatchPetrovaFire.38;searchwrap_q=CatchPetrovaFire.39;searchwrap_q=CatchPetrovaFire.4;searchwrap_q=CatchPetrovaFire.40;searchwrap_q=CatchPetrovaFire.41;searchwrap_q=CatchPetrovaFire.42;searchwrap_q=CatchPetrovaFire.43;searchwrap_q=CatchPetrovaFire.44;searchwrap_q=CatchPetrovaFire.45;searchwrap_q=CatchPetrovaFire.46;searchwrap_q=CatchPetrovaFire.47;searchwrap_q=CatchPetrovaFire.5;searchwrap_q=CatchPetrovaFire.6;searchwrap_q=CatchPetrovaFire.7;searchwrap_q=CatchPetrovaFire.8;searchwrap_q=CatchPetrovaFire.9
http://dbpedia.org/resource/vea;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Paul_Wesley;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/The_CW_Television_Network;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
http://dbpedia.org/resource/love;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/LOVE;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/so_weird;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Love;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/RT!;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Statue_of_Liberty;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0
http://dbpedia.org/resource/VAMPIRE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
