DBPediaURI;searchwrap_q=Libia&extern=true;searchwrap_q=Libia&extern=true.1;searchwrap_q=Libia&extern=true.10;searchwrap_q=Libia&extern=true.11;searchwrap_q=Libia&extern=true.12;searchwrap_q=Libia&extern=true.13;searchwrap_q=Libia&extern=true.14;searchwrap_q=Libia&extern=true.15;searchwrap_q=Libia&extern=true.16;searchwrap_q=Libia&extern=true.17;searchwrap_q=Libia&extern=true.18;searchwrap_q=Libia&extern=true.2;searchwrap_q=Libia&extern=true.21;searchwrap_q=Libia&extern=true.22;searchwrap_q=Libia&extern=true.23;searchwrap_q=Libia&extern=true.24;searchwrap_q=Libia&extern=true.25;searchwrap_q=Libia&extern=true.26;searchwrap_q=Libia&extern=true.27;searchwrap_q=Libia&extern=true.28;searchwrap_q=Libia&extern=true.29;searchwrap_q=Libia&extern=true.3;searchwrap_q=Libia&extern=true.30;searchwrap_q=Libia&extern=true.31;searchwrap_q=Libia&extern=true.32;searchwrap_q=Libia&extern=true.33;searchwrap_q=Libia&extern=true.34;searchwrap_q=Libia&extern=true.36;searchwrap_q=Libia&extern=true.37;searchwrap_q=Libia&extern=true.38;searchwrap_q=Libia&extern=true.39;searchwrap_q=Libia&extern=true.4;searchwrap_q=Libia&extern=true.40;searchwrap_q=Libia&extern=true.41;searchwrap_q=Libia&extern=true.42;searchwrap_q=Libia&extern=true.43;searchwrap_q=Libia&extern=true.44;searchwrap_q=Libia&extern=true.45;searchwrap_q=Libia&extern=true.46;searchwrap_q=Libia&extern=true.47;searchwrap_q=Libia&extern=true.5;searchwrap_q=Libia&extern=true.6;searchwrap_q=Libia&extern=true.7;searchwrap_q=Libia&extern=true.8;searchwrap_q=Libia&extern=true.9
http://dbpedia.org/resource/Muammar_al-Gaddafi;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;1
http://dbpedia.org/resource/Portugal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
http://dbpedia.org/resource/Adolf_Hitler;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
http://dbpedia.org/resource/Hypertext_Transfer_Protocol;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Cuba;1;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
http://dbpedia.org/resource/ISRAEL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/!!!;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Libya;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/Nicaragua;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
http://dbpedia.org/resource/Spanish_language;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Facebook;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0
http://dbpedia.org/resource/Internet_Explorer;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1
http://dbpedia.org/resource/Fidel_Castro;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1
