DBPediaURI;searchwrap_q=Precious+Minaj;searchwrap_q=Precious+Minaj.1;searchwrap_q=Precious+Minaj.10;searchwrap_q=Precious+Minaj.11;searchwrap_q=Precious+Minaj.12;searchwrap_q=Precious+Minaj.13;searchwrap_q=Precious+Minaj.14;searchwrap_q=Precious+Minaj.15;searchwrap_q=Precious+Minaj.16;searchwrap_q=Precious+Minaj.17;searchwrap_q=Precious+Minaj.18;searchwrap_q=Precious+Minaj.19;searchwrap_q=Precious+Minaj.2;searchwrap_q=Precious+Minaj.20;searchwrap_q=Precious+Minaj.21;searchwrap_q=Precious+Minaj.22;searchwrap_q=Precious+Minaj.23;searchwrap_q=Precious+Minaj.24;searchwrap_q=Precious+Minaj.25;searchwrap_q=Precious+Minaj.26;searchwrap_q=Precious+Minaj.27;searchwrap_q=Precious+Minaj.28;searchwrap_q=Precious+Minaj.29;searchwrap_q=Precious+Minaj.3;searchwrap_q=Precious+Minaj.30;searchwrap_q=Precious+Minaj.31;searchwrap_q=Precious+Minaj.32;searchwrap_q=Precious+Minaj.33;searchwrap_q=Precious+Minaj.34;searchwrap_q=Precious+Minaj.35;searchwrap_q=Precious+Minaj.36;searchwrap_q=Precious+Minaj.37;searchwrap_q=Precious+Minaj.38;searchwrap_q=Precious+Minaj.39;searchwrap_q=Precious+Minaj.4;searchwrap_q=Precious+Minaj.40;searchwrap_q=Precious+Minaj.41;searchwrap_q=Precious+Minaj.42;searchwrap_q=Precious+Minaj.43;searchwrap_q=Precious+Minaj.44;searchwrap_q=Precious+Minaj.45;searchwrap_q=Precious+Minaj.46;searchwrap_q=Precious+Minaj.47;searchwrap_q=Precious+Minaj.5;searchwrap_q=Precious+Minaj.6;searchwrap_q=Precious+Minaj.7;searchwrap_q=Precious+Minaj.8;searchwrap_q=Precious+Minaj.9
http://dbpedia.org/resource/Muammar_al-Gaddafi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/YOUTUBE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/lol;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/LOL;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Nicki_Minaj;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0
http://dbpedia.org/resource/Any_Questions?;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Lol;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Gabourey_Sidibe;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Beyoncé_Knowles;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
http://dbpedia.org/resource/McDonald's;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0
