DBPediaURI;searchwrap_q=Tommy+John;searchwrap_q=Tommy+John.1;searchwrap_q=Tommy+John.10;searchwrap_q=Tommy+John.11;searchwrap_q=Tommy+John.12;searchwrap_q=Tommy+John.13;searchwrap_q=Tommy+John.14;searchwrap_q=Tommy+John.15;searchwrap_q=Tommy+John.16;searchwrap_q=Tommy+John.17;searchwrap_q=Tommy+John.18;searchwrap_q=Tommy+John.19;searchwrap_q=Tommy+John.2;searchwrap_q=Tommy+John.20;searchwrap_q=Tommy+John.21;searchwrap_q=Tommy+John.22;searchwrap_q=Tommy+John.23;searchwrap_q=Tommy+John.24;searchwrap_q=Tommy+John.25;searchwrap_q=Tommy+John.26;searchwrap_q=Tommy+John.27;searchwrap_q=Tommy+John.28;searchwrap_q=Tommy+John.29;searchwrap_q=Tommy+John.3;searchwrap_q=Tommy+John.30;searchwrap_q=Tommy+John.31;searchwrap_q=Tommy+John.32;searchwrap_q=Tommy+John.33;searchwrap_q=Tommy+John.34;searchwrap_q=Tommy+John.35;searchwrap_q=Tommy+John.36;searchwrap_q=Tommy+John.37;searchwrap_q=Tommy+John.38;searchwrap_q=Tommy+John.39;searchwrap_q=Tommy+John.4;searchwrap_q=Tommy+John.40;searchwrap_q=Tommy+John.41;searchwrap_q=Tommy+John.42;searchwrap_q=Tommy+John.43;searchwrap_q=Tommy+John.44;searchwrap_q=Tommy+John.45;searchwrap_q=Tommy+John.46;searchwrap_q=Tommy+John.47;searchwrap_q=Tommy+John.5;searchwrap_q=Tommy+John.6;searchwrap_q=Tommy+John.7;searchwrap_q=Tommy+John.8;searchwrap_q=Tommy+John.9
http://dbpedia.org/resource/Tommy_John;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/Betty_White;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Tommy_John_Surgery;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/Adam_Wainwright;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/St._Louis_Cardinals;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/Tommy_John_surgery;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/CLIFF_LEE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/ADAM_WAINWRIGHT;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/TOMMY_JOHN;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Pitcher;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0
