DBPediaURI;searchwrap_q=Tommy+John&extern=true;searchwrap_q=Tommy+John&extern=true.1;searchwrap_q=Tommy+John&extern=true.10;searchwrap_q=Tommy+John&extern=true.11;searchwrap_q=Tommy+John&extern=true.12;searchwrap_q=Tommy+John&extern=true.13;searchwrap_q=Tommy+John&extern=true.14;searchwrap_q=Tommy+John&extern=true.15;searchwrap_q=Tommy+John&extern=true.16;searchwrap_q=Tommy+John&extern=true.17;searchwrap_q=Tommy+John&extern=true.18;searchwrap_q=Tommy+John&extern=true.19;searchwrap_q=Tommy+John&extern=true.2;searchwrap_q=Tommy+John&extern=true.20;searchwrap_q=Tommy+John&extern=true.21;searchwrap_q=Tommy+John&extern=true.22;searchwrap_q=Tommy+John&extern=true.23;searchwrap_q=Tommy+John&extern=true.24;searchwrap_q=Tommy+John&extern=true.25;searchwrap_q=Tommy+John&extern=true.26;searchwrap_q=Tommy+John&extern=true.27;searchwrap_q=Tommy+John&extern=true.28;searchwrap_q=Tommy+John&extern=true.29;searchwrap_q=Tommy+John&extern=true.3;searchwrap_q=Tommy+John&extern=true.30;searchwrap_q=Tommy+John&extern=true.31;searchwrap_q=Tommy+John&extern=true.32;searchwrap_q=Tommy+John&extern=true.33;searchwrap_q=Tommy+John&extern=true.34;searchwrap_q=Tommy+John&extern=true.35;searchwrap_q=Tommy+John&extern=true.36;searchwrap_q=Tommy+John&extern=true.37;searchwrap_q=Tommy+John&extern=true.38;searchwrap_q=Tommy+John&extern=true.39;searchwrap_q=Tommy+John&extern=true.4;searchwrap_q=Tommy+John&extern=true.40;searchwrap_q=Tommy+John&extern=true.41;searchwrap_q=Tommy+John&extern=true.42;searchwrap_q=Tommy+John&extern=true.43;searchwrap_q=Tommy+John&extern=true.44;searchwrap_q=Tommy+John&extern=true.45;searchwrap_q=Tommy+John&extern=true.46;searchwrap_q=Tommy+John&extern=true.47;searchwrap_q=Tommy+John&extern=true.5;searchwrap_q=Tommy+John&extern=true.6;searchwrap_q=Tommy+John&extern=true.7;searchwrap_q=Tommy+John&extern=true.8;searchwrap_q=Tommy+John&extern=true.9
http://dbpedia.org/resource/Javascript;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Spring_training;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/St._Louis_Cardinals;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/Oakland_Athletics;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Seattle;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1
http://dbpedia.org/resource/Web_browser;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
http://dbpedia.org/resource/2011;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0
http://dbpedia.org/resource/Blogger_(service);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/February_24;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
http://dbpedia.org/resource/Los_Angeles_Dodgers;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
