DBPediaURI;searchwrap_q=Lion&lang=de;searchwrap_q=Lion&lang=de.1;searchwrap_q=Lion&lang=de.10;searchwrap_q=Lion&lang=de.11;searchwrap_q=Lion&lang=de.12;searchwrap_q=Lion&lang=de.13;searchwrap_q=Lion&lang=de.14;searchwrap_q=Lion&lang=de.15;searchwrap_q=Lion&lang=de.16;searchwrap_q=Lion&lang=de.17;searchwrap_q=Lion&lang=de.18;searchwrap_q=Lion&lang=de.19;searchwrap_q=Lion&lang=de.2;searchwrap_q=Lion&lang=de.20;searchwrap_q=Lion&lang=de.21;searchwrap_q=Lion&lang=de.22;searchwrap_q=Lion&lang=de.23;searchwrap_q=Lion&lang=de.24;searchwrap_q=Lion&lang=de.25;searchwrap_q=Lion&lang=de.26;searchwrap_q=Lion&lang=de.27;searchwrap_q=Lion&lang=de.28;searchwrap_q=Lion&lang=de.29;searchwrap_q=Lion&lang=de.3;searchwrap_q=Lion&lang=de.30;searchwrap_q=Lion&lang=de.31;searchwrap_q=Lion&lang=de.32;searchwrap_q=Lion&lang=de.33;searchwrap_q=Lion&lang=de.34;searchwrap_q=Lion&lang=de.35;searchwrap_q=Lion&lang=de.36;searchwrap_q=Lion&lang=de.37;searchwrap_q=Lion&lang=de.38;searchwrap_q=Lion&lang=de.39;searchwrap_q=Lion&lang=de.4;searchwrap_q=Lion&lang=de.40;searchwrap_q=Lion&lang=de.41;searchwrap_q=Lion&lang=de.42;searchwrap_q=Lion&lang=de.43;searchwrap_q=Lion&lang=de.44;searchwrap_q=Lion&lang=de.46;searchwrap_q=Lion&lang=de.47;searchwrap_q=Lion&lang=de.5;searchwrap_q=Lion&lang=de.6;searchwrap_q=Lion&lang=de.7;searchwrap_q=Lion&lang=de.8;searchwrap_q=Lion&lang=de.9
http://de.dbpedia.org/resource/Mac_OS;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0
http://de.dbpedia.org/resource/Apple_Macintosh;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
http://de.dbpedia.org/resource/Grafische_Benutzeroberfläche;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Apple;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://de.dbpedia.org/resource/chat;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/code;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Code;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Mac_OS_X;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://de.dbpedia.org/resource/Server;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
http://de.dbpedia.org/resource/iTunes;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
