DBPediaURI;searchwrap_q=MBP&lang=de;searchwrap_q=MBP&lang=de.1;searchwrap_q=MBP&lang=de.10;searchwrap_q=MBP&lang=de.11;searchwrap_q=MBP&lang=de.12;searchwrap_q=MBP&lang=de.13;searchwrap_q=MBP&lang=de.14;searchwrap_q=MBP&lang=de.15;searchwrap_q=MBP&lang=de.16;searchwrap_q=MBP&lang=de.17;searchwrap_q=MBP&lang=de.18;searchwrap_q=MBP&lang=de.19;searchwrap_q=MBP&lang=de.2;searchwrap_q=MBP&lang=de.20;searchwrap_q=MBP&lang=de.21;searchwrap_q=MBP&lang=de.22;searchwrap_q=MBP&lang=de.23;searchwrap_q=MBP&lang=de.24;searchwrap_q=MBP&lang=de.25;searchwrap_q=MBP&lang=de.26;searchwrap_q=MBP&lang=de.27;searchwrap_q=MBP&lang=de.28;searchwrap_q=MBP&lang=de.29;searchwrap_q=MBP&lang=de.3;searchwrap_q=MBP&lang=de.30;searchwrap_q=MBP&lang=de.31;searchwrap_q=MBP&lang=de.32;searchwrap_q=MBP&lang=de.33;searchwrap_q=MBP&lang=de.34;searchwrap_q=MBP&lang=de.35;searchwrap_q=MBP&lang=de.36;searchwrap_q=MBP&lang=de.37;searchwrap_q=MBP&lang=de.38;searchwrap_q=MBP&lang=de.39;searchwrap_q=MBP&lang=de.4;searchwrap_q=MBP&lang=de.40;searchwrap_q=MBP&lang=de.41;searchwrap_q=MBP&lang=de.42;searchwrap_q=MBP&lang=de.43;searchwrap_q=MBP&lang=de.44;searchwrap_q=MBP&lang=de.45;searchwrap_q=MBP&lang=de.46;searchwrap_q=MBP&lang=de.47;searchwrap_q=MBP&lang=de.5;searchwrap_q=MBP&lang=de.6;searchwrap_q=MBP&lang=de.7;searchwrap_q=MBP&lang=de.8;searchwrap_q=MBP&lang=de.9
http://de.dbpedia.org/resource/Apple_MacBook;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1
http://de.dbpedia.org/resource/firewire;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Apple;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://de.dbpedia.org/resource/intel;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
http://de.dbpedia.org/resource/Apple_MacBook_Pro;1;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;0
http://de.dbpedia.org/resource/Apple_iMac;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;0
http://de.dbpedia.org/resource/Grafikprozessor;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
http://de.dbpedia.org/resource/hardware;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
http://de.dbpedia.org/resource/Notebook;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1
http://de.dbpedia.org/resource/Byte;0;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0
http://de.dbpedia.org/resource/bit;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/NVIDIA;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
http://de.dbpedia.org/resource/Flash-Speicher;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/apple;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1
http://de.dbpedia.org/resource/Hardware;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
http://de.dbpedia.org/resource/Zoll_(Einheit);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Serial_ATA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/ethernet;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://de.dbpedia.org/resource/Bluetooth;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
