DBPediaURI;searchwrap_q=Adam+Wainwright&extern=true;searchwrap_q=Adam+Wainwright&extern=true.1;searchwrap_q=Adam+Wainwright&extern=true.10;searchwrap_q=Adam+Wainwright&extern=true.11;searchwrap_q=Adam+Wainwright&extern=true.12;searchwrap_q=Adam+Wainwright&extern=true.13;searchwrap_q=Adam+Wainwright&extern=true.14;searchwrap_q=Adam+Wainwright&extern=true.15;searchwrap_q=Adam+Wainwright&extern=true.16;searchwrap_q=Adam+Wainwright&extern=true.17;searchwrap_q=Adam+Wainwright&extern=true.18;searchwrap_q=Adam+Wainwright&extern=true.19;searchwrap_q=Adam+Wainwright&extern=true.2;searchwrap_q=Adam+Wainwright&extern=true.20;searchwrap_q=Adam+Wainwright&extern=true.21;searchwrap_q=Adam+Wainwright&extern=true.22;searchwrap_q=Adam+Wainwright&extern=true.23;searchwrap_q=Adam+Wainwright&extern=true.24;searchwrap_q=Adam+Wainwright&extern=true.25;searchwrap_q=Adam+Wainwright&extern=true.26;searchwrap_q=Adam+Wainwright&extern=true.27;searchwrap_q=Adam+Wainwright&extern=true.28;searchwrap_q=Adam+Wainwright&extern=true.29;searchwrap_q=Adam+Wainwright&extern=true.3;searchwrap_q=Adam+Wainwright&extern=true.30;searchwrap_q=Adam+Wainwright&extern=true.31;searchwrap_q=Adam+Wainwright&extern=true.32;searchwrap_q=Adam+Wainwright&extern=true.33;searchwrap_q=Adam+Wainwright&extern=true.34;searchwrap_q=Adam+Wainwright&extern=true.35;searchwrap_q=Adam+Wainwright&extern=true.36;searchwrap_q=Adam+Wainwright&extern=true.37;searchwrap_q=Adam+Wainwright&extern=true.38;searchwrap_q=Adam+Wainwright&extern=true.39;searchwrap_q=Adam+Wainwright&extern=true.4;searchwrap_q=Adam+Wainwright&extern=true.40;searchwrap_q=Adam+Wainwright&extern=true.41;searchwrap_q=Adam+Wainwright&extern=true.42;searchwrap_q=Adam+Wainwright&extern=true.43;searchwrap_q=Adam+Wainwright&extern=true.44;searchwrap_q=Adam+Wainwright&extern=true.45;searchwrap_q=Adam+Wainwright&extern=true.46;searchwrap_q=Adam+Wainwright&extern=true.47;searchwrap_q=Adam+Wainwright&extern=true.5;searchwrap_q=Adam+Wainwright&extern=true.6;searchwrap_q=Adam+Wainwright&extern=true.7;searchwrap_q=Adam+Wainwright&extern=true.8;searchwrap_q=Adam+Wainwright&extern=true.9
http://dbpedia.org/resource/Javascript;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Pitcher;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1
http://dbpedia.org/resource/Web_Browser;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0
http://dbpedia.org/resource/pitcher;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1
http://dbpedia.org/resource/United_Press_International;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Chicago;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1
http://dbpedia.org/resource/St._Louis_Cardinals;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/CHICAGO;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1
http://dbpedia.org/resource/surgery;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/ESPN;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
http://dbpedia.org/resource/ESPN.com;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1
