DBPediaURI;searchwrap_q=#smalljoys;searchwrap_q=#smalljoys.1;searchwrap_q=#smalljoys.10;searchwrap_q=#smalljoys.11;searchwrap_q=#smalljoys.12;searchwrap_q=#smalljoys.13;searchwrap_q=#smalljoys.14;searchwrap_q=#smalljoys.15;searchwrap_q=#smalljoys.16;searchwrap_q=#smalljoys.17;searchwrap_q=#smalljoys.18;searchwrap_q=#smalljoys.19;searchwrap_q=#smalljoys.2;searchwrap_q=#smalljoys.20;searchwrap_q=#smalljoys.21;searchwrap_q=#smalljoys.22;searchwrap_q=#smalljoys.23;searchwrap_q=#smalljoys.24;searchwrap_q=#smalljoys.25;searchwrap_q=#smalljoys.26;searchwrap_q=#smalljoys.27;searchwrap_q=#smalljoys.28;searchwrap_q=#smalljoys.29;searchwrap_q=#smalljoys.3;searchwrap_q=#smalljoys.30;searchwrap_q=#smalljoys.31;searchwrap_q=#smalljoys.32;searchwrap_q=#smalljoys.33;searchwrap_q=#smalljoys.34;searchwrap_q=#smalljoys.35;searchwrap_q=#smalljoys.36;searchwrap_q=#smalljoys.37;searchwrap_q=#smalljoys.38;searchwrap_q=#smalljoys.39;searchwrap_q=#smalljoys.4;searchwrap_q=#smalljoys.40;searchwrap_q=#smalljoys.41;searchwrap_q=#smalljoys.42;searchwrap_q=#smalljoys.43;searchwrap_q=#smalljoys.44;searchwrap_q=#smalljoys.45;searchwrap_q=#smalljoys.46;searchwrap_q=#smalljoys.47;searchwrap_q=#smalljoys.5;searchwrap_q=#smalljoys.6;searchwrap_q=#smalljoys.7;searchwrap_q=#smalljoys.8;searchwrap_q=#smalljoys.9
http://dbpedia.org/resource/twitter;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/super_fresh;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/french_fries;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
http://dbpedia.org/resource/Coca-Cola;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/lol;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
http://dbpedia.org/resource/LOL;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
http://dbpedia.org/resource/penis;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/hittin;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Orange_Juice;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Cotton_swab;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/orgasm;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/chicken;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Chocolate;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Taco_Bell;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/chocolate;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Chicken;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/bread;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
