DBPediaURI;searchwrap_q=#goodlucknickj;searchwrap_q=#goodlucknickj.1;searchwrap_q=#goodlucknickj.10;searchwrap_q=#goodlucknickj.11;searchwrap_q=#goodlucknickj.12;searchwrap_q=#goodlucknickj.13;searchwrap_q=#goodlucknickj.14;searchwrap_q=#goodlucknickj.15;searchwrap_q=#goodlucknickj.16;searchwrap_q=#goodlucknickj.17;searchwrap_q=#goodlucknickj.18;searchwrap_q=#goodlucknickj.19;searchwrap_q=#goodlucknickj.2;searchwrap_q=#goodlucknickj.20;searchwrap_q=#goodlucknickj.21;searchwrap_q=#goodlucknickj.22;searchwrap_q=#goodlucknickj.23;searchwrap_q=#goodlucknickj.24;searchwrap_q=#goodlucknickj.25;searchwrap_q=#goodlucknickj.26;searchwrap_q=#goodlucknickj.27;searchwrap_q=#goodlucknickj.28;searchwrap_q=#goodlucknickj.29;searchwrap_q=#goodlucknickj.3;searchwrap_q=#goodlucknickj.30;searchwrap_q=#goodlucknickj.31;searchwrap_q=#goodlucknickj.32;searchwrap_q=#goodlucknickj.33;searchwrap_q=#goodlucknickj.34;searchwrap_q=#goodlucknickj.35;searchwrap_q=#goodlucknickj.36;searchwrap_q=#goodlucknickj.37;searchwrap_q=#goodlucknickj.38;searchwrap_q=#goodlucknickj.39;searchwrap_q=#goodlucknickj.4;searchwrap_q=#goodlucknickj.40;searchwrap_q=#goodlucknickj.41;searchwrap_q=#goodlucknickj.42;searchwrap_q=#goodlucknickj.43;searchwrap_q=#goodlucknickj.44;searchwrap_q=#goodlucknickj.45;searchwrap_q=#goodlucknickj.46;searchwrap_q=#goodlucknickj.47;searchwrap_q=#goodlucknickj.5;searchwrap_q=#goodlucknickj.6;searchwrap_q=#goodlucknickj.7;searchwrap_q=#goodlucknickj.8;searchwrap_q=#goodlucknickj.9
http://dbpedia.org/resource/twitter;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/White_House;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/nick_jonas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Nick_Jonas;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/WHITE_HOUSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Equals_sign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Bracket;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Dash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
http://dbpedia.org/resource/Emoticon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
http://dbpedia.org/resource/Break_a_leg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
