DBPediaURI;searchwrap_q=Gadafi&extern=true;searchwrap_q=Gadafi&extern=true.10;searchwrap_q=Gadafi&extern=true.11;searchwrap_q=Gadafi&extern=true.12;searchwrap_q=Gadafi&extern=true.13;searchwrap_q=Gadafi&extern=true.14;searchwrap_q=Gadafi&extern=true.15;searchwrap_q=Gadafi&extern=true.16;searchwrap_q=Gadafi&extern=true.17;searchwrap_q=Gadafi&extern=true.18;searchwrap_q=Gadafi&extern=true.19;searchwrap_q=Gadafi&extern=true.2;searchwrap_q=Gadafi&extern=true.21;searchwrap_q=Gadafi&extern=true.22;searchwrap_q=Gadafi&extern=true.23;searchwrap_q=Gadafi&extern=true.24;searchwrap_q=Gadafi&extern=true.25;searchwrap_q=Gadafi&extern=true.26;searchwrap_q=Gadafi&extern=true.27;searchwrap_q=Gadafi&extern=true.28;searchwrap_q=Gadafi&extern=true.29;searchwrap_q=Gadafi&extern=true.3;searchwrap_q=Gadafi&extern=true.30;searchwrap_q=Gadafi&extern=true.31;searchwrap_q=Gadafi&extern=true.32;searchwrap_q=Gadafi&extern=true.33;searchwrap_q=Gadafi&extern=true.34;searchwrap_q=Gadafi&extern=true.35;searchwrap_q=Gadafi&extern=true.36;searchwrap_q=Gadafi&extern=true.37;searchwrap_q=Gadafi&extern=true.38;searchwrap_q=Gadafi&extern=true.39;searchwrap_q=Gadafi&extern=true.4;searchwrap_q=Gadafi&extern=true.40;searchwrap_q=Gadafi&extern=true.41;searchwrap_q=Gadafi&extern=true.42;searchwrap_q=Gadafi&extern=true.43;searchwrap_q=Gadafi&extern=true.44;searchwrap_q=Gadafi&extern=true.45;searchwrap_q=Gadafi&extern=true.46;searchwrap_q=Gadafi&extern=true.47;searchwrap_q=Gadafi&extern=true.5;searchwrap_q=Gadafi&extern=true.6;searchwrap_q=Gadafi&extern=true.7;searchwrap_q=Gadafi&extern=true.9
http://dbpedia.org/resource/Muammar_al-Gaddafi;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1
http://dbpedia.org/resource/2008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Middle_East;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/Al-Qaeda;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1
http://dbpedia.org/resource/Libya;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1
http://dbpedia.org/resource/Nicaragua;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Facebook;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0
http://dbpedia.org/resource/CNN;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0
http://dbpedia.org/resource/YouTube;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
http://dbpedia.org/resource/European_Union;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
